-996 767 0 12007 977 4893 -931 774 1035 12007 972 -3156 -980 0 1000 12007 -9937 38
-896 141 0 12007 1709 9908 -772 133 623 12007 -31630 5204 -882 43 515 12007 17610 4458
-1599 -187 5 1076 -28017 20854 -529 -189 143 -20743 -28949 28328 -999 -218 127 -21643 977 18076
-1311 -250 62 14511 12007 18503 -281 -282 -309 28402 12007 -4618 -828 -389 174 15427 0 -32620
-867 -729 234 30106 12007 3923 -131 -705 -767 31195 12007 22666 -1249 -717 1 -22216 0 2633
0 -730 203 31511 12007 32251 71 -678 -1310 -16582 12007 -17486 40 260 505 -12285 0 32732
796 -486 15 31282 15931 -2636 835 -143 -2000 29706 22679 -2645 0 85 8 29782 16137 15946
1001 88 28 25760 11796 23167 1364 303 -1968 26628 19819 31914 1015 83 31 -8754 12300 30525
1035 671 15 1323 22906 -32101 1388 928 -953 -12015 26693 -17225 1004 441 3 -2723 -32254 1007
1000 578 250 -8692 23292 4152 1813 804 -568 -12015 -18541 -26769 526 813 0 15943 -26547 -26296
1016 1625 289 -3143 -21648 -30575 1175 1637 299 14995 -12015 178 129 39 312 18091 -29013 27488
0 1679 377 21021 14045 366 -37 1999 1465 -27668 -12015 -32315 -717 236 1234 22929 -6486 -30575
-1000 -272 384 12007 22 19633 -725 -120 1877 12007 -219 24553 -999 308 1838 12007 -8990 31297
-991 -991 291 9502 8183 977 -316 -842 1243 -9668 -6381 2118 -500 9 1017 24647 -18132 5137
-1185 -902 21 -5590 2045 4977 -173 -890 552 -7897 6149 -269 -681 -914 32 -25065 28364 312
-1093 -874 15 8943 -6376 11007 -57 -768 194 26439 -2330 30076 -1625 -888 7 12007 -32246 23480
0 2 578 -2346 12038 7824 43 -812 -169 -6036 26824 7603 0 -1869 571 -19746 13190 1114
31 -937 8 -21317 12007 3984 172 -782 -434 -10465 12007 27849 126 -843 1 18564 0 0
3 -958 141 0 12007 19610 498 -723 -644 -21781 12435 -32639 3 -984 3 31396 83 6874
62 -493 297 -29454 9082 1954 848 -483 -1250 -24210 24616 -9172 3 500 38 10013 28792 10763
1010 -499 285 9637 20468 3236 1178 -38 -1113 13752 -32389 26418 1041 64 375 11851 -30274 26166
1012 74 320 12404 2372 1496 1406 389 -546 22798 14204 -26027 392 1 441 3279 20167 732
1046 500 117 -24608 610 21637 1356 554 -239 -20586 -27242 24943 312 536 -497 -14605 4866 10958
127 711 384 4815 9786 122 938 732 437 5677 1132 -4242 48 11 160 -2422 781 7824
44 675 62 0 11000 15877 807 712 641 -3563 2147 -9038 0 66 640 374 -6906 16129
48 140 0 11725 16061 15 620 228 1069 -89 10775 -30109 50 7 1062 -18990 4641 1160
1 -375 406 977 3053 2137 552 -118 929 16849 30799 -20010 0 -122 132 6086 244 4396
54 -330 375 549 15 24427 456 -282 933 4682 -13987 29969 408 -279 378 3254 15931 27847
4 -351 344 20786 2000 15641 522 -368 830 3766 -31086 16030 501 -483 258 549 31633 2458
0 -500 251 9038 0 -11480 501 -363 814 14903 16763 -3022 3 70 1 4099 45 -19534
117 -499 62 1954 2198 -31175 611 -364 753 -10404 2045 -20022 101 0 164 19931 610 -22458
39 -233 125 977 4946 -30778 687 -199 724 8641 4908 -22564 65 6 197 30 5099 0
62 -400 281 1343 1282 -19541 700 -145 788 -11435 17519 -19465 68 0 250 -14618 15641 -21374
0 -437 297 15877 53 1954 687 -169 928 30315 28259 -15992 656 -245 378 18819 11977 -19114
65 -208 15 10442 5923 1007 560 -196 1056 18109 22190 -12473 31 -187 0 5870 6053 -14167
63 -224 34 9770 7816 0 485 -228 1005 12498 -6633 -10595 445 5 1 9282 18773 -15267
125 -478 250 76 9832 801 454 -281 937 9865 27552 -12740 173 67 171 5984 4254 -29282
127 -495 335 8995 160 -12427 496 -295 793 10414 2827 -12236 0 164 814 5086 2056 -27847
5 -478 88 7918 648 61 515 -416 721 8590 -28173 -15198 0 62 70 3063 -29105 122
60 -459 382 5941 385 7885 501 -475 492 17689 3050 -19381 86 -468 267 3002 11725 7816
70 -498 8 -29251 -25065 1992 624 -481 217 -27152 -17721 -28862 4 -492 192 122 5954 2198
94 -435 291 -29282 -23187 1526 726 -418 -10 -16137 -22775 19544 4 -463 336 -27839 282 15648
101 -496 281 4206 -9141 4961 848 -361 -225 6267 -9057 -97 94 -406 274 2198 251 -2143
131 -304 96 -32315 17729 4648 944 -259 -407 -18735 20775 -7693 3 0 31 32648 61 7
1009 -492 257 -1781 99 1099 1193 -175 -606 8288 11025 -11273 1007 -182 252 6105 152 1007
1047 21 89 1954 12244 7 1209 68 -352 30464 15473 -6357 1078 54 9 1954 17648 2946
1132 37 298 3908 129 8086 1124 113 -176 12128 761 8521 1091 0 260 6900 990 0
1033 258 17 0 61 30 1005 288 83 -5353 28769 23712 1012 1 118 -8865 29173 23659
98 62 0 8183 5893 496 939 220 129 9473 28448 -30129 93 2 15 9969 28395 -30732
33 0 316 2809 656 3908 824 197 464 3175 20479 -17748 62 15 250 1160 19471 1954
95 126 23 5992 496 1984 717 123 178 32259 19769 -9702 71 8 0 -32254 17105 -10038
99 33 253 1160 11793 30 588 170 262 6089 25662 -10618 62 31 4 7135 24845 0
70 31 335 648 13190 503 570 243 35 -31622 -3538 -30374 62 8 8 28754 824 1954
64 317 250 183 11847 122 449 357 421 11227 23355 6620 64 328 299 1822 366 488
93 251 62 18625 1007 -10059 364 385 544 -15027 -1576 -9532 7 375 0 -12775 30 648
20 500 19 4061 6061 -22372 261 705 689 -2303 -10095 -22028 0 711 39 -3990 -12531 -24280
6 1007 1 68 2236 31897 378 1052 1156 8569 -30353 -32486 5 1 25 4946 31511 31683
64 754 149 5381 14671 24630 525 933 429 25760 14908 24760 35 31 250 679 15694 23592
9 1266 3 0 7083 -20418 396 1265 640 -29065 -27010 -19334 3 0 4 3931 -29315 -18242
62 1032 9 18983 7847 1954 310 1188 712 19693 29908 11040 0 7 2 17120 27480 11369
15 1016 51 3908 3916 -27725 260 1194 613 -16720 29290 -27503 103 9 7 -19033 38 366
0 1031 3 717 45 -14900 183 1020 539 3335 32541 -12221 23 9 19 244 15 2946
55 812 252 4519 877 -12213 123 931 436 -26526 -32643 -12213 93 0 281 2076 1496 1992
39 750 261 4442 25412 -21007 37 868 412 -32603 24732 -19770 48 1 281 6000 641 374
15 817 269 -21251 13038 -27358 24 839 350 -20541 12427 -25717 20 78 295 1068 251 7
-934 508 283 30 -14618 23338 0 662 383 7328 -11183 23002 -921 27 321 2030 977 21865
-960 500 253 -14605 19796 -8677 -114 520 356 -12552 20666 -10097 -998 7 285 -15544 2641 15
-998 750 286 28815 31454 31912 -234 846 270 -27416 31065 -32761 -979 2 263 -29340 198 1221
-966 1063 9 -979 13851 -29166 -264 1096 26 3754 14836 -31173 -981 20 2 -872 1526 587
-937 750 31 14254 -20372 6248 -201 782 133 -21015 -17028 6256 -958 8 17 -22129 -15555 5156
-976 785 39 19796 12773 83 -310 873 188 -13572 14941 -12744 -937 847 4 549 15460 -17439
-980 1002 18 -29236 -15603 610 -266 1086 100 -5625 -12793 -14615 -867 7 78 -7687 3931 -25233
-999 1814 16 22156 -17475 1969 -94 1847 44 -4204 -1201 -25532 -1000 1875 0 -11593 4641 -21853
-937 1821 347 12456 4815 1893 -403 1999 512 29738 27471 4990 -1000 67 3 977 2015 906
-987 1785 323 16435 -32246 1748 -747 1999 930 -23758 31000 30934 -996 78 437 12229 23496 -31511
-1928 1754 0 12007 29521 25083 -1429 1867 1014 12007 27140 -12015 -1968 343 601 12007 3033 5702
-1912 1536 250 12007 6011 30038 -1609 1551 927 12007 29584 -12015 -1622 500 882 12007 6416 7610
-1992 791 15 12007 -592 23938 -1091 836 517 12007 5439 -19198 -1250 3 34 12007 15021 122
-921 16 0 12007 18091 23496 -655 244 210 12007 508 -11439 -747 4 39 12007 17402 -18620
-983 -195 5 12007 19793 3916 -470 -116 -1 12007 30341 -31849 -979 97 -54 12007 9555 31274
-996 -346 207 14946 244 3908 -310 -362 -319 20944 -2399 -12847 -838 126 -495 12320 -6437 12906
-979 -749 330 11683 20641 137 -211 -566 -711 -17815 18961 22659 -687 -998 -984 -12410 1045 -2262
8 -914 19 3572 12007 8061 112 -765 -993 23503 12007 27004 31 -779 -1375 7854 0 15893
46 -747 0 10179 12007 15885 303 -616 -1437 14821 12007 29082 3 -747 533 23267 0 3061
16 -247 0 -31448 9005 -24498 1111 -105 -2000 -26509 32410 2105 31 257 0 854 5908 5916
291 1135 4 15179 145 68 1333 1267 -1781 -12015 -28704 -18025 1292 1265 54 -24034 488 16297
1257 1635 279 -1005 19477 2954 1491 1916 -1152 -15686 -5181 -9378 281 656 507 3969 -7967 3969
1031 1784 36 -30076 27086 11809 1260 1802 -398 -12015 -12015 17178 42 531 1002 -22263 8195 3124
-670 1884 330 18860 30292 6267 -98 1999 890 21112 -12015 27916 -1432 1462 533 687 -21912 2015
-1874 531 285 12007 9045 8549 -1156 468 1999 12007 -12015 2475 -1437 156 1600 0 13752 7013
-964 -968 0 17938 18580 0 -935 -927 1576 -26949 9631 -3234 -979 28 1539 9832 4671 -2598
-988 -1218 17 8015 -21506 1603 -360 -1192 628 -29515 -3609 9044 -359 562 500 -24775 5137 5845
-1156 -1246 46 -24341 2206 22 -131 -1172 131 -22341 -25538 -1687 -731 -1234 4 12129 8427 -17668
210 -960 156 -24235 32526 -29190 211 -976 -369 -25206 -27414 -28152 137 3 7 -17073 24427 32662
127 32 251 -30353 12007 -21488 410 -699 -572 -18056 12007 -21603 171 -728 -624 328 0 6746
0 -712 18 -18376 12007 3969 308 -592 -782 -14080 12007 -17022 16 -992 -749 -2941 0 3456
0 -867 191 12631 12007 3938 755 -609 -1057 -19134 12007 -32541 250 -749 64 -32315 0 4160
53 -748 1 28288 13503 -16376 1081 -765 -1513 -7843 21625 -3815 91 -795 265 -28262 5038 -12773
1047 -359 200 -2933 6095 -2941 1294 -291 -1755 -6227 17584 -6729 1078 0 0 -7654 16038 -9126
1070 8 0 -5996 1267 -6903 1097 117 -1302 22850 10213 3807 1040 63 634 9767 3931 7839
1001 500 258 29355 -2987 8610 1048 553 -563 31676 -29340 -24689 11 19 188 29309 -2 4076
