-1982 658 69 31511 8557 225 -776 676 359 -13895 4685 12706 -922 500 74 -12697 4578 12843
-2000 767 0 -32315 4916 -141 -911 785 250 -30414 -14704 11592 -937 752 179 31450 1007 10897
-1335 562 7 -31682 19793 5744 -1375 507 9 31633 18564 -34 -2000 533 0 15702 0 0
-1992 291 67 15369 11992 4419 -1935 281 62 3010 12717 4404 -1937 250 41 4040 977 396
-1000 160 3 -1766 0 -27267 -963 156 37 -987 7022 -25854 -1000 0 0 -3002 1954 83
-982 516 0 -32185 977 -13435 -1000 505 11 15633 1099 -13412 -933 500 3 15633 1229 -13122
-998 347 41 -15618 8580 -14412 -994 359 36 -15488 7816 -14320 -998 282 31 -17160 76 -15633
-966 270 11 5503 7877 7 -1000 282 31 122 1038 15 -1000 257 0 137 0 1061
-950 375 15 2198 45 2320 -952 375 0 2961 45 2931 -937 250 0 251 549 122
-1000 387 174 1809 4946 30 -984 379 171 1221 4152 61 -1000 257 187 503 4641 61
-991 282 193 251 -16488 992 -992 284 176 122 -16977 0 -996 266 172 30 7 7
-1796 267 18 1007 -11587 0 -1820 283 133 1099 -15022 68 -1998 312 0 0 610 0
-1869 259 39 2137 -15633 1694 -1839 335 0 3053 -12213 1954 -2000 250 0 106 -12702 251
-1997 289 81 137 -23328 99 -1995 250 78 984 -23419 99 -1999 250 66 992 0 3908
-1866 283 106 1893 -28335 519 -1835 283 79 1099 -29297 0 -1999 281 15 488 0 0
-904 376 78 7839 -28763 625 -748 429 325 8053 -24480 755 -1000 250 64 183 488 152
-671 392 103 1007 3450 526 -694 360 238 9244 -19435 1931 -999 268 3 9442 -19358 0
-988 261 13 9832 9282 -6687 -740 345 233 14351 -6755 -6702 -1000 266 3 4900 0 129
-979 250 173 -30353 0 -11664 -718 358 181 -29056 1931 -11618 -994 273 180 1404 2152 0
-1866 533 0 564 15877 2076 -1866 535 157 91 16824 564 -1966 539 125 0 15938 977
-944 316 72 76 20549 7938 -996 312 82 12773 19664 7931 -931 250 15 11063 19786 6358
-1865 258 35 4285 320 -4977 -1931 261 31 10842 0 -4610 -1992 282 0 13078 0 -5832
-999 250 2 3969 0 5862 -999 287 13 4900 595 5870 -984 250 0 244 732 4412
-1000 285 31 22 122 4488 -990 253 27 1984 2442 3916 -1000 251 0 30 763 0
-983 250 39 19664 488 183 -996 304 16 20030 183 206 -1000 305 0 20030 122 0
-937 273 1 3458 13679 -9633 -997 323 24 2687 13748 -9748 -932 250 31 1954 76 15
-999 326 0 -13923 10061 -7801 -995 250 0 -15633 10137 -7801 -988 251 17 -15564 30 45
-994 282 1 4030 305 -1931 -960 283 0 5885 977 -1832 -1000 285 0 4152 0 -1954
-984 250 43 5007 1282 732 -958 285 31 4641 992 549 -992 281 0 3908 1038 0
-988 250 21 4557 61 0 -968 300 23 4396 15 30 -989 254 188 0 2198 38
