3 8 4 -27300 -12015 32519 64 2 33 32244 -12015 -32300 5 31 7 31267 6992 31755
-277 -562 5 10240 -12015 5893 -263 -40 280 15752 -12015 28151 -960 -109 285 15 4961 28387
8 501 176 15694 30271 -26798 118 634 694 -16385 25981 -22454 63 531 525 -23462 3114 -22981
133 16 1065 2320 5868 526 224 319 1069 16618 6173 19341 9 313 1062 8687 122 183
-1370 266 1516 12670 -19471 366 -86 761 1636 32155 -20166 -15132 -968 656 1532 -30503 251 7
-69 816 1832 5491 540 1395 -95 851 1871 8185 -2506 2914 -973 875 1753 8590 30 1549
-1994 1132 1930 7816 12007 30 -470 1123 1936 -30475 12007 6196 -990 1023 1658 23732 0 7
-1620 722 1281 3908 12007 -18132 -600 995 1773 10526 12007 -13201 -968 1023 1734 7816 0 2503
-1725 518 262 11944 12007 8801 -1737 504 289 9128 12007 7984 -1999 687 32 -6109 0 0
-515 266 164 23103 24677 61 0 281 148 30431 30990 2687 0 266 0 22004 2198 1465
34 257 47 -31206 -26425 17068 70 257 64 -31236 -12296 23664 0 250 64 -28824 183 21984
273 543 -242 32723 12000 1007 256 539 -234 9525 297 6106 35 500 -496 12631 0 488
110 31 -284 32036 -2080 -2872 72 47 -500 -27676 -4531 -2605 32 0 -500 2931 4160 -3002
165 8 -242 -8883 15781 16601 191 5 -245 -18769 19376 16738 0 0 -467 244 99 16547
62 4 2 -15483 -12015 4967 690 12 -35 -6708 -12015 -18748 36 9 -312 76 3442 -17503
281 -210 268 8893 -12015 32488 259 -49 -79 -167 -12015 -31269 31 -92 -247 61 3106 -30353
-417 -366 32 31267 -32763 8799 -72 -68 190 -24309 29369 9784 -1000 -120 15 30 0 610
10 401 648 -7164 12561 16754 11 408 649 -10660 8668 16395 -966 398 504 5022 4782 183
0 0 0 0 0 0 291 573 1013 11128 23992 4166 0 578 1000 8792 19916 1969
-1490 64 1387 -25468 7141 15 -54 544 1472 -19651 -11402 -31040 -960 531 1230 -18323 -15051 -31819
-170 1122 1760 -7660 -24744 30931 -192 1142 1750 -10927 -1969 -1969 -1000 1125 1734 -15775 91 1564
-2000 62 1750 0 21900 -31017 -527 960 1878 -18246 -14590 -25735 -998 890 1631 -18613 305 53
-1870 764 1198 0 12007 15862 -520 909 1706 17145 21183 -6468 -984 876 1687 16671 19915 648
-1496 375 297 13748 14457 0 -1546 303 250 15923 20618 0 -1999 281 0 2015 0 0
-656 0 376 -26155 -10262 0 -500 15 315 12076 12129 0 -996 8 250 7 1954 0
32 275 270 557 9013 1022 55 250 250 0 9776 8801 0 251 257 2709 488 15
