-994 563 126 11992 190 732 -567 590 401 -1603 419 824 -960 602 257 -1755 61 732
-948 1 4 0 442 526 -587 600 369 404 908 2549 -960 523 278 549 61 2603
-1583 502 125 5984 -21488 2580 -578 592 393 6129 -1618 2564 -979 531 269 6374 503 274
-1750 74 250 2931 19549 45 -596 615 381 11122 -1816 -145 -964 520 269 129 1984 496
-1000 539 375 45 -25292 29462 -638 603 374 8312 -2938 -3297 -945 540 250 8305 1389 -3297
-866 3 137 0 -21576 -286 -593 628 414 9305 -4221 -2167 -973 629 250 984 977 -2381
-991 289 272 -2995 -31941 10297 -574 793 282 -11969 -30445 12610 -999 828 78 -28793 992 12221
-491 1133 203 15633 -2758 -18544 -484 1148 189 7969 -2506 -18109 -999 1148 9 7 488 -3002
-935 68 1 27004 -10811 -31949 -446 1094 170 -23967 -6195 31937 -998 1074 34 -26059 122 32326
-979 1080 0 20798 488 -5027 -937 1070 0 21202 366 -5515 -975 1121 46 160 259 7
-1432 43 56 5691 2410 32103 -479 1207 197 16584 -14584 -32227 -987 1125 23 190 297 122
-1984 500 3 -8613 122 6799 -747 1560 175 1105 19708 24300 -958 1503 0 -1735 16723 61
-1497 281 132 -23637 1740 15418 -367 933 520 -10401 19152 -12015 -913 850 510 -14370 1480 3015
-1592 1 1323 0 14022 -4460 -618 590 1333 -18552 31630 -12015 -1999 4 1125 3908 0 7
-1976 454 1546 12007 12007 977 -1984 3 1500 12007 12007 9847 -990 540 1527 -32034 12007 1969
-1890 -201 817 24839 12007 15664 -1478 -109 1776 28152 12007 17183 -2000 -214 1500 2267 12007 2984
-812 172 39 -27227 12007 12007 -443 236 360 -16525 12007 15201 -967 254 253 15648 0 1007
10 1007 62 7460 -24775 -23187 710 1137 203 -8030 -20332 -2969 3 1126 39 -13190 496 -3877
1000 1037 -1420 30776 12799 5381 1508 1001 -1208 28463 26987 3694 1015 878 -1234 12990 1038 0
1763 531 -1749 0 -1546 8183 1760 623 -1197 12007 27302 31664 1040 500 -1245 12007 7 -31323
1130 7 -1983 1519 11895 12922 1093 3 -1982 5885 15498 12754 1007 0 -1984 152 671 -2514
0 -29 -921 5412 -12015 7761 296 -31 -1000 305 -12015 6280 0 -93 -999 15981 1603 4845
